sample,dichromate_concentration_mM,wavelength_nm,absorbance
1,0.412,345,0.875
2,0.329,345,0.699
3,0.205,345,0.497
4,0.097,345,0.231
1,0.412,390,1.742
2,0.329,390,1.403
3,0.205,390,
4,0.097,390,0.712
1,0.412,400,0.57
2,0.329,400,0.484
3,0.205,400,0.341
4,0.097,400,0.189
