sample,igG_volume_microlitre,NaCl_volume_microlitre,absorbance,stock_igG_volume_microlitre
1,15,85,,1.43
2,20,80,0.348,1.43
3,30,70,0.494,1.43
4,40,60,0.65,1.43
5,50,50,0.761,1.43
